Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,DNP
"C6, C9","2","0.1uF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"D1","1","SK26A","D_Schottky","Diode_SMD:D_SMA_Handsoldering","Schottky diode","",""
"D2, D3, D4, D5","4","LED","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode","",""
"R1, R2, R3, R4","4","4K7","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"U1","1","L7809","L7809","Package_TO_SOT_SMD:TO-263-2","Positive 1.5A 35V Linear Regulator, Fixed Output 9V, TO-220/TO-263/TO-252","",""
"U2","1","L7805","L7805","Package_TO_SOT_SMD:TO-263-2","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","",""
