Designator,Mid X,Mid Y,Layer,Rotation
C6,195.5375,-111.8,top,0
C9,200,-128,top,90
D1,111.9,-113,top,180
D2,209.5,-107.7375,top,90
D3,223.5,-106.5,top,180
D4,213.75,-107.75,top,90
D5,218,-107.75,top,-90
R1,209.5,-113,top,-90
R2,229.5,-106.5,top,0
R3,213.75,-113,top,-90
R4,218,-112.9125,top,-90
U1,191.425,-98.825,top,90
U2,191.225,-121.075,top,90
